query_id,query,department,solution,query_date,date_solved,employee_id
21,How will the online store know that I have Verified by Visa/ MasterCard SecureCode,security,The participating online stores will automatically recognize your Visa card number if you have registered it for Verified by Visa and a pop-up will be shown asking for your Verified by Visa password.,2/22/2019,5/1/2019,535
22,How can I register / re-set password for VBV/MSC if my mobile number/ email ID is not updated in the bank's records,security,You will have to first have to get the details updated in our system by calling our Customer Care Centre and register after 1 working day. It is mandatory to have at least one email ID and one mobile number registered. The same will apply if there is a recent change in your mobile number or email ID.,5/23/2019,10/26/2018,511
23,"Once I have registered, how long does it take for Verified by Visa / MasterCard SecureCode to become active for my card",security,The Verified by Visa / MasterCard SecureCode gets activated for your Syndicate Bank Card as soon as your registration is successful. You can start shopping at participating stores once you are registered with the added security of Verified by Visa/MasterCard SecureCode.,11/5/2018,9/15/2018,538
24,What will happen if I try to register again & generate an OTP within 2 hours,security,"You will get a pop-up message stating Your earlier request is being processed. If you do not receive your OTP within 2 hours, please try again later. Only on expiry of the OTP generated through an earlier request, you can register again to generate a new OTP.",8/28/2019,12/27/2018,523
25,"If my account is blocked, how do I unblock it",security,"If your account gets blocked, please contact your nearest Customer Call Centre (for Credit Cards) and PhoneBanking centre (for Debit Cards).",8/1/2019,4/25/2019,526
26,"How do I use Verified by Visa / MasterCard SecureCode when I shop online, once I’m registered",security,"Once you have registered, you can use Verified by Visa/ MasterCard SecureCode service right away on participating merchant sites. For a full listing of these merchants, please visit your local Visa/ MasterCard website or www.visa-asia.com/verified/ or www.mastercard.com/securecode You will also find the Verified by Visa/ MasterCard SecureCode online shopping demo on these websites. View more",10/14/2018,12/23/2018,561
27,How does Verified by Visa/ MasterCard SecureCode work,security,"Verified by Visa/ MasterCard SecureCode provides you with a Password/ SecureCode that protects your online transactions, just like the way you use your PIN at an ATM. All you need to do is follow the simple steps: Select the goods and services you want from the Verified by Visa (VBV) / SecureCode merchant site and proceed to the payment page. Enter your Syndicate Bank Debit/ Credit Card number and the online store will connect with Syndicate Bank to check whether your Card is secured with Verified by Visa/ MasterCard SecureCode. Syndicate Bank initiates a Verified by Visa/ MasterCard SecureCode pop-up window on your computer screen that includes your Personal Assurance Message (PAM) or Personal Greeting message. Look for and confirm your PAM/ Personal Greeting then enter your password. Syndicate Bank will then confirm your identity to the merchant. Your payment is authorized and your order is placed. View more",4/30/2019,9/15/2018,536
28,I suspect someone has stolen my password or used it to make fraudulent purchases. What should I do,security,"If you suspect any fraudulent activities, contact Syndicate Bank immediately at your nearest customer Call Centre (for Credit Cards) or PhoneBanking Centre (for Debit Cards) and report the loss.",1/26/2019,12/18/2018,557
29,My spouse and I both have the same card number. How does Verified by Visa/ MasterCard SecureCode work for both of us,security,Verified by Visa / MasterCard SecureCode will still work for both of you. You will only need to register the primary card.,1/26/2019,6/9/2019,556
30,What is Verified by Visa/MasterCard SecureCode,security,"Verified by Visa/ MasterCard SecureCode is a service that lets you use a personal password/ SecureCode with your Syndicate Bank card. This SecureCode gives you added assurance that only you can use your Syndicate Bank Card to make purchases over the Internet. Just turn on your computer, connect to the Internet and pull out your Syndicate Bank Card. You don't need any special software. Use Verified by Visa/ MasterCard SecureCode as easily as you use your PIN at an ATM. View more",6/17/2019,4/26/2019,581
31,How do I register my Syndicate Bank Card,security,You can register your Syndicate Bank Card through the Syndicate Bank Website or through any participating online shopping site when prompted for registration.,1/17/2019,3/25/2019,530
32,Can I register for Verified by Visa/MasterCard SecureCode with my existing Syndicate Bank Card or do I need to apply for a new one,security,"Yes, you can register with any of your Syndicate Bank Cards to be protected by Verified by Visa/ MasterCard SecureCode. You don’t need to apply for a new Syndicate Bank Card.",1/15/2019,3/29/2019,559
33,Can I register more than one Syndicate Bank Credit/ Debit Card,security,"Yes, you can register all of your Syndicate Bank Credit and Debit Cards for Verified by Visa/MasterCard SecureCode.",2/17/2019,12/5/2018,577
34,"If I have just received a renewed card, do I need to re-register",security,"No, you do not have to re-register your renewed card since the card number remains the same. You need to re-register only if your card number has changed due to card replacement/ re-issue/ upgrade.",12/31/2018,2/23/2019,529
35,Can I register my non-Visa payment Cards with Verified by Visa and non- MasterCard payment Cards with MasterCard SecureCode,security,"Currently, Verified by Visa is only offered to protect Visa Cards and MasterCard SecureCode to protect MasterCard Cards.",2/8/2019,4/29/2019,529
36,Can I use Verified by Visa/ MasterCard SecureCode from any other computer,security,"Yes, you can use Verified by Visa/ MasterCard SecureCode from any computer that has an Internet connection and Internet Explorer, 5.0 and above or Mozilla Firefox 1.5 and above or Netscape Navigator 8.1 and above.",7/23/2019,8/29/2019,542
37,Do I need any special equipment or software on my computer,security,No. All you need is an Internet connection and Internet Explorer 5.0 and above or Mozilla Firefox 1.5 and above or Netscape Navigator 8.1 and above. Find out if you browser is compatible by going to the Help menu on the upper right-hand side of your browser and select the About option. It will tell you what version is installed on your computer.,7/1/2019,8/31/2019,555
38,What is a Personal Assurance Message or Personal Greeting,security,"When you register for Verified by Visa/ MasterCard SecureCode, you are asked to create a Personal Assurance Message/ Personal Greeting. So when you pay online, always look for your Personal Assurance Message/ Personal Message to ensure that Syndicate Bank is authenticating you. View more",12/17/2018,12/18/2018,577
39,How can I register for VBV/SC if my mobile number / Email ID is not updated in my Credit Card records with the Bank,security,"You will have to first have the details updated in our system by calling our Customer Care Centre, and attempt to register later. The same will apply if there is a recent change in your mobile number.",12/27/2018,11/25/2018,591
40,How long does it take for the IVR Password  to get delivered using Verified by Visa/Mastercard Secure Code,security,"The IVR Password will get delivered instantly, in less than a minute. Please ensure that you also check your Spam, Junk and all other folders for the IVR Password mailer from Syndicate Bank.",2/8/2019,6/11/2019,575
41,"If I have registered two email IDs, on which email ID will I receive the IVR Password ",security,"If there are 2 email IDs updated in our system, IVR Password will be sent to both email IDs. However, only one of them is required for validation during registration / password reset.",7/29/2019,10/1/2018,521
42,What is the validity of the IVR Password  using Verified by Visa/Mastercard Secure Code,security,"The IVR Password is valid for 2 hours. If you do not use it within 2 hours of generation of IVR Password , it will expire. You will have to attempt registration again and use the new IVR Password . On expiry of IVR Password generated through the earlier request, you can attempt registration again to generate another IVR Password .",6/22/2019,8/21/2019,559
43,What are the other things that I need to keep in mind about the IVR Password using Verified by Visa/Mastercard Secure Code,security,"If you have provided 2 email IDs for our records, you need to enter any one of them for validation. Also if your email ID and mobile number are not updated, please have the details updated in our system by calling our Customer Care Centre, and attempt to register later. It is mandatory to have at least one email ID and one mobile number registered. The same will apply if there is a recent change in your mobile number or email ID. View more",6/3/2019,5/22/2019,600
44,In what transactions is the One Time Password (IVR Password ) process applicable,security,The IVR Password process is applicable only for Credit Cards for: Registration through Syndicate Bank website Registration during online shopping Password re-set through website Password re-set while shopping online View more,9/18/2018,12/15/2018,525
45,I don't see my Personal Assurance Message on the Secure page . What should I do,security,"Always look for your Personal Assurance Message before entering your Verified by Visa / MasterCard Securecode password. If your Personal Assurance Message does not appear on the secure page, do not enter your password. Please contact our Customer Care Center and update the same.",1/9/2019,1/31/2019,591
46,"If I forget my VBV/MSC  password, how do I retrieve the same",security,"If you have forgotten your password, Click on Forgot password on Netsafe login page. Authenticate your identity after entering your Credit/Debit Card number, Card Expiry Date and ATM PIN (or CVV2 and Date of birth for Credit Cards, along with your mobile number and email id). Once the details are validated One time password will be sent to your email id and mobile no, using this permanent password can be set. You can also reset your password while transacting, click on Forgot password on the secure password page Authenticate your identity after entering your Credit/Debit Card number, Card Expiry Date and ATM PIN (or CVV2 and Date of birth for Credit Cards, along with your mobile number and email id). Once the details are validated One time password will be sent to your email id and mobile no, using this permanent password can be set.",9/23/2018,9/10/2018,582
47,"While trying to register my card, I am getting the error message stating mobile no. mismatch, what could be the reason",security,"Please enter the mobile no you have updated in our system, In case there is a change in the number, Please contact our Customer Care Center and update the same.",1/31/2019,9/7/2018,551
48,On which email id will I receive the OTP for Credit card registration or for password reset,security,"If there are 2 email ids updated in our system, OTP will be sent to both the email ids. However, only one of them is required for validation during registration / password reset.",9/4/2018,8/20/2019,507
49,"While trying to register I am getting error message Card already enrolled , what should I do",security,"Your card is already registered for Verified by Visa / MasterCard SecureCode, you don't have to re-register your card. In case you don't remember your password, please click on forgot password on the Netsafe login page or on the secure page while transacting and you can reset your password.",9/6/2018,12/31/2018,503
50,I don't remember my Verified by Visa / MasterCard Securecode login Id,security,"You can use your Credit/Debit card number as your login id. The login id is required only to login to Netsafe, you don't require the login id for doing online transactions.",8/26/2019,7/1/2019,537
51,Where do I find the CVV2,security,CVV2 is three digit number mentioned at reverse of your card.,2/4/2019,8/10/2019,587
52,"I am unable to transact online as my card is de-registered status, how do I re-register my card",security,"You have to login to NetSafe on the Syndicate bank website using your login id & Verified by Visa/ MasterCard SecureCode password. Once you login to Netsafe click on reregister cards, enter your date of birth and CVV2 and post that the card will be reregistered. You can now use the card for online transaction.",12/1/2018,2/24/2019,588
53,Is there a fee to register for Verified by Visa / MasterCard Securecode,security,"The service is free, There is no additional charges for using the service.",2/12/2019,12/26/2018,519
54,What steps should I take to ensure that my VBV / MSC Password is strong and difficult to guess,security,"Avoid using a password that is easy to guess, also avoid using a password that you have already used elsewhere. Password should be something that is easy for you to remember but difficult for anyone else to guess. Never share your password with others. You may even choose to change your password periodically.It is your responsibility to protect your VBV / MSC Password.",2/25/2019,3/19/2019,574
55,Can I set my Personal Assurance Message to be the same as my VBV / MSC Password,security,"Your Personal Assurance Message and your VBV / MSC Password must not be the same, to ensure your security.",9/21/2018,8/3/2019,526
56,What happens if I try to make a purchase at a merchant that doesn't participate in the Verified by Visa / MasterCard Securecode service,security,"You will not be prompted to enter your for Verified by Visa / MasterCard Securecode password on these websites.By shopping at websites participating Verified by Visa / MasterCard Securecode merchants, you have the extra layer of security as the transactions are authenticated using your Verified by Visa / MasterCard Securecode password.",3/19/2019,3/25/2019,508
57,Can I get the benefit of Verified by Visa/ MasterCard SecureCode security at online stores that are not participating in the service,security,"No. you can only get the benefits of Verified by Visa/ MasterCard SecureCode at the participating online stores. However a number of online stores have the service available to them. In the meantime, if an online stores you trust is not yet participating; you can perform the transaction using NetSafe. Click here to know more. View more",3/16/2019,3/27/2019,529
58,What security do I need to provide to obtain a Business loan,loans,"To obtain the loan, there is absolutely no need to provide any security or collateral.",12/20/2018,10/30/2018,561
59,What are the benefits of having a Current/Saving Account for my Business loan,loans,"You get preferred Processing Fee, priority processing and simpler documentation if you have a Current/Saving Account with Syndicate Bank. This is taken into account at the time of disbursal of the loan. You can pay through Standing Instructions to debit your Syndicate Bank Account with the EMI amount.",6/10/2019,7/11/2019,510
60,How long will it take for me to get a Business Loan,loans,"Once you submit your application form and supporting documents, we shall give approval within 5 working days provided everything is in order. All loan approvals are at the sole discretion of the bank.",4/15/2019,6/19/2019,552
61,Can I repay the loan earlier for Business Loan,loans,"Yes, you can choose to repay your loan anytime after 6 months of taking the loan and after you have paid 06 EMIs along with applicable foreclosure charges. Please note Loan can be foreclosed by issuing a Demand draft / cheque at the branch; kindly note that cash beyond Rs. 49000/- will not be accepted for loan repayment against full closure/matured loan closure payment. Any payment above Rs. 49000/- should be made vide Account payee Cheque / Pay order /Demand draft.",9/3/2018,3/12/2019,595
62,How can I get my address changed in my loan account,loans,"In order to change your address in our records, you may visit the nearest Retail Loan Service Center and submit the following documents: Request form for Address Change. Self Attested copy of your revised address proof along with the original address proof for validation. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer, i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided.",1/20/2019,8/20/2019,537
63,What will be done with the post dated cheques if I request to change the mode of repayment/ account for my loan,loans,"Post Dated Cheques(PDCs)/Security Cheques submitted towards loan repayment that have not been encashed, will be defaced and retained by the Bank. In case, you wish to have your old Post Dated Cheques(PDCs)/ Security Cheques to be returned to you, kindly lodge a request at the Retail Loan Service Center or through PhoneBanking or write us an email at www.Syndicatebank.com/services within 45 days from the date of application of change in repayment instructions. In case, we do not hear from you within the stipulated period, the defaced cheques will be destroyed.",6/20/2019,6/14/2019,586
64,What are the charges I have to pay to change the mode of repayment/ account for my loan,loans,A service charge of Rs.500 is applicable for changes in loan repayment instructions issued from non-Syndicate Bank Account (ECS or PDC facility). A cheque/payorder/demand draft for Rs. 500 favouring “Syndicate Bank Ltd Loan Account No. << >>” will be required along with the revised set of repayment instructions.,8/6/2019,4/29/2019,502
65,How can I change the mode of repayment/ account for my loan,loans,"In the event that you wish to change the mode of repayment/bank account for your loan repayment, you may visit the nearest the Retail Loan Service Center and submit your request with the revised account mandate/instructions. You can opt to repay through alternate repayment instructions as follows: 1) Standing Instructions: We offer the Standing Instructions (SI) facility whereby we can directly debit your Syndicate Bank account for EMI amounts on due dates. Please submit the following at your nearest Retail Loan Service Center: Request form for swap of repayment instructions. 3 Security cheques favoring Syndicate Bank Ltd Loan Account No. << >>, each undated and filled with a value equal to the sum of 3 EMIs. SI mandate duly filled and verified by Syndicate Bank. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer,i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. 2) Electronic Clearing Service (ECS): We offer the ECS facility whereby we can directly debit your non-Syndicate Bank account for EMI amounts on due dates. Please submit the following at your nearest Retail Loan Service Center: Request form for swap of repayment instructions. Security cheques favoring Syndicate Bank Ltd Loan Account No. << >>*** ECS mandate duly filled and verified by your banker. ACH(Automated Clearing House) Mandate. Swap Charges of Rs.500/- favouring Syndicate Bank Ltd Loan Account No. << >> In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer,i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. ***Security Cheques: You need to issue 1 security cheque for every 6 Equated Monthly Installments (EMI). The amount on each security undated cheque should be equal to the sum of 3 EMIs. For example, if your EMI amount is Rs. 1000 and you have paid 18 EMIs for a 36 month loan tenure, you need to submit 3 Security Cheques of Rs. 3000 each. 3) Post-dated Cheques (This mode is allowed only if the location is non ECS): Please submit the following documents at your nearest Retail Loan Service Center: Request form for swap of repayment instructions Revised post dated cheques in favour of Syndicate Bank Ltd Loan Account No. << >> for the balance EMIs. ACH(Automated Clearing House) Mandate Swap Charges of Rs.500/- favouring Syndicate Bank Ltd Loan Account No. << >> In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer,i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. View more",5/26/2019,1/1/2019,545
66,How do I obtain a Duplicate Repayment Schedule for my loan account,loans,"You may obtain a Duplicate Repayment Schedule for your loan account, free of charge by registering for our NetBanking facility on www.Syndicatebank.com and download the repayment schedule for your linked loan account. Alternatively, you may visit the nearest Retail Loan Service Center and submit the following documents Request form for Duplicate Repayment Schedule. Duplicate Repayment Schedule Charges of Rs.200/- favouring Syndicate Bank Ltd Loan Account No. << >> In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer, i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided",12/13/2018,3/4/2019,595
67,How much loan can I avail of Business Loan,loans,"You can avail of a loan from Rs 50,000/- to Rs 50,00,000/- depending on your income, repayment capacity and respective location product cap.",3/15/2019,11/10/2018,584
68,How do I repay my Business Loan,loans,You pay the loan in equal monthly instalments (EMIs). The loan will be paid through post-dated cheques. You can also pay through Electronic Clearing System (ECS ) or a standing instruction to debit your Syndicate Bank account with the EMI amount,8/7/2019,9/20/2018,502
69,What are the loan tenure options for Business Loan,loans,You can repay your loan over a period of 12 to 48 months,12/9/2018,11/3/2018,570
70,Do I need to pledge anything or give collateral to get a car loan,loans,"No, there’s no need for any collateral. You will only need you to hypothecate the car in our name. An endorsement will have to be made in the Registration Certificate (RC) book of the vehicle. This will be cancelled after you repay the loan.",3/14/2019,10/12/2018,504
71,How long can the tenure of my loan be,loans,"Usually the tenure of an Auto Loan is 3 to 7 years. The tenure also depends on the type of car you wish to purchase. If it is a super premium car the tenure is restricted to 3 years only. In addition, the higher your tenure is the lower your EMI will be, but the total interest outflow is higher.",4/7/2019,8/15/2019,577
72,What documents do I need to submit after the loan amount is disbursed,loans,"You can keep the original car documents, registration certificate, insurance policy and tax papers with you; but you need to submit photocopies of these documents to the bank.",5/12/2019,2/23/2019,554
73,What happens if the car meets with an accident,loans,"In the event of an accident, the first step is to inform the insurance company. The company then sends a surveyor to assess the extent of damages to the car. Your claim is then processed and paid directly to us, unless you have taken an NOC from the bank in which case the payment will be made by the insurance company in your favour. The bank normally gives you an NOC if you are regular in your payments. In case of a complete loss, the bank will receive the payment directly from the insurance company.",2/8/2019,11/6/2018,595
74,Can I get finance for insurance and registration,loans,No. The ex-showroom price is considered which does not cover insurance and registration charges.,7/6/2019,2/8/2019,522
75,How much loan can I get,loans,The amount of the loan you can get depends on: The cost of the vehicle The type of vehicle (standard/premium) The percentage of finance offered,12/10/2018,1/16/2019,561
76,Can I sell my car before I repay my loan,loans,"No, you cannot sell your car unless you repay your loan. An NOC is required from the financier before you can sell your car.",3/29/2019,3/4/2019,511
77,How much time will it take to change the mode of repayment/ account to repay my loan,loans,"It will take 25 working days to activate the revised instructions. In case your next instalment falls due prior to the 25 day period, instructions already lodged with us will be presented for payment.",6/22/2019,11/8/2018,541
78,What is De-pledge,loans,Removal of a pledge from the security to regain the rights over the security is called de-pledge. *Conditions Apply,6/25/2019,4/15/2019,558
79,What is Guarantor,loans,A Guarantor is a person who guarantees to pay for someone else's debt if he or she should default on a loan obligation.,10/23/2018,8/6/2019,567
80,What is Amortization,loans,Amortization is paying off debts in regular instalments over a period of time.,6/22/2019,3/22/2019,548
81,What is Pledge,loans,A right over the security is created in favour of Syndicate Bank. Hence shares cannot be transferred or sold by the customer or shareholder.,10/5/2018,8/15/2019,586
82,What is RTGS,loans,"RTGS is the Real Time Gross Settlement which is used for the transfer of amounts of Rs. 1,00,000 or more from one bank account to another bank account (any bank located anywhere in India if attached with an Internet system) at very minimal charges. The amount is credited into the beneficiary's account in real time. For amounts less than Rs. 1,00,000 we use NEFT( National Electronic Fund Transfer).",1/24/2019,6/26/2019,583
83,What is NEFT,loans,The National Electronic Funds Transfer (NEFT) system is a nation-wide funds transfer system to facilitate transfer of funds from any bank branch to any other bank branch.,9/18/2018,1/1/2019,590
84,What is SI,loans,"SI stands for Standing Instructions. It is one of the modes you can use to repay a loan, wherein your Syndicate Bank account is directly debited for the EMI amounts, based on your specific instructions in the form of the Standing Instructions Mandate.",12/9/2018,9/28/2018,558
85,What is CIBIL,loans,"CIBIL stands for Credit Information Bureau India Limited. CIBIL's aim is to fulfil the need of credit granting institutions for comprehensive credit information by collecting, collating and disseminating credit information pertaining to both commercial and consumer borrowers, to a closed user group of members. Banks, Financial Institutions, Non-Banking Financial Companies, Housing Finance Companies and Credit Card Companies use CIBIL's services. Data sharing is based on the Principle of Reciprocity, which means that only Members who have submitted all their credit data may access Credit Information Reports from CIBIL. The establishment of CIBIL is an effort made by the Government of India and the Reserve Bank of India to improve the functionality and stability of the Indian financial system by containing NPAs while improving credit grantors' portfolio quality. CIBIL provides a vital service, which allows its Members to make informed, objective and faster credit decisions. View more",11/4/2018,5/8/2019,544
86,Which documents should I carry at the time of visiting Syndicate bank,loans,"You need to carry an Agreement Number, Self-attested Identification Proof containing your signature to avail of any information / deliverable along with a written request and produce the documents at the Customer Service Desk. If you want to change your address / contact details, you need to submit an address change request along with a Self-attested copy of your revised address proof. The Request form for Address Change is available on the Form Centre of Syndicate Bank website. View more",8/24/2019,11/28/2018,597
87,Who can resolve my queries,loans,"For your queries related to Loans (other than home loans), please visit the nearest Retail Asset Branch. You can also write to us at www.Syndicatebank.com/services with the following verification details or contact your nearest PhoneBanking officer: Loan account number Name of applicant / loan favouring Date of birth of the applicant (as provided in loan application form) Correspondence address Loan amount EMI amount Mode of repayment (standing instruction / ECS / post date cheques) Bank name and account number from which the EMIs are collected Query / Complain View more",7/27/2019,1/11/2019,540
88,How do I obtain a NOC from the bank for fitting an LPG/CNG kit on my vehicle under finance with Syndicate Bank,loans,"You may obtain the NOC for fitting an LPG/CNG kit on your registered vehicle under finance with us by visiting any of our the Retail Loan Service Center and submitting the following documents: Request form for LPG/CNG NOC. Self attested copy of the Registration Certificate book, duly self attested by you, along with the Original Registration Certificate book for validation. Applicable fee of Rs. 500/- vide a cheque/payorder/demand draft favouring Syndicate Bank Ltd Loan Account No. << >>. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents (self attested copy and original for validation) of the bearer, i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. View more",9/18/2018,12/7/2018,577
89,How do I obtain a NOC from the bank for settling a partial loss Insurance Claim for a vehicle under finance with Syndicate Bank,loans,"You may obtain the NOC to settle the partial insurance claim in your favour, provided there are no outstandings to your loan account, by visiting any of our Retail Loan Service Center and submitting the following documents: Request form for applying for the required NOC. Original Insurance Policy (will be returned back to you at the centre, post validation). Copy of the Insurance Policy, duly self attested by you. Claim Voucher provided by Insurance Company Applicable fee of Rs. 500/- vide a cheque/payorder/demand draft favouring Syndicate Bank Ltd Loan Account No. << >>. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer, i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. Note, for Total Loss, Claims will be settled in favour of the Bank to close the loan based on the Loan Pre-Termination Statement as on the date of request and in case of any excess claim received from the Insurance Company, a refund will be made favouring the customer. View more",10/21/2018,6/5/2019,597
90,How can I get my address changed in my loan account,loans,"In order to change your address in our records, we request you to visit the Retail Loan Service Center and submit the following documents: Request form for Address Change. Self Attested copy of your revised address proof along with the original address proof for validation. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer,i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided.",7/19/2019,12/27/2018,554
91,How do I obtain a NOC from the bank if my Registration Certificate is mutilated and  I wish to apply for a duplicate Registration Certificate book for a vehicle under finance with Syndicate Bank,loans,"You may obtain the NOC for a duplicate Registration Certificate book for the said purpose by visiting any of our Retail Loan Service Center and submitting the following documents: Request form for applying for the required NOC. Self attested copy of the Registration Certificate book, duly self attested by you, along with the Original Registration Certificate book for validation. Applicable fee of Rs. 500//- vide a cheque/payorder/demand draft favouring Syndicate Bank Ltd Loan Account No. << >>. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer, i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. View more",5/10/2019,5/8/2019,520
